date,start_datetime,id,name,type,indoor,distance_km,avg_speed_kph,moving_seconds,elapsed_seconds,elevation_m,avg_power,normalized_power,avg_hr,max_hr,avg_cadence,intensity_pct,variability_index,decoupling_pct,efficiency_factor,tss,calories,work_kj,rpe,feel
2019-09-30,2019-09-30T01:34:46,i171661342,Early morning Virtual Ride,VirtualRide,True,34.96,31.0,4044,4057,53.0,139.0,143.0,155.0,169.0,93.0,79.4,1.029,3.0,0.923,71.0,537,,,
2019-09-28,2019-09-28T02:44:32,i171641796,기본값,Ride,False,11.65,24.17,1716,3402,18.0,,,141.0,165.0,80.9,70.3,,,,24.0,354,,,
2019-09-28,2019-09-28T02:21:02,i171641790,기본값,Ride,False,9.97,30.23,1184,1304,0.0,,,163.0,170.0,90.8,92.3,,,,28.0,327,,,
2019-09-28,2019-09-28T02:00:27,i171641785,기본값,Ride,False,4.81,20.73,826,1124,5.0,,,133.0,149.0,69.5,62.4,,,,9.0,127,,,
2019-09-28,2019-09-28T01:04:32,i171641779,기본값,Ride,False,17.38,28.05,2228,3013,16.0,,,155.0,166.0,87.3,83.4,,,,43.0,571,,,
2019-09-28,2019-09-28T00:41:19,i171641772,기본값,Ride,False,5.08,26.41,687,1025,3.0,,,154.0,179.0,86.3,84.7,,,,14.0,173,,,
2019-09-27,2019-09-27T11:04:07,i171668564,Lunch Virtual Ride,VirtualRide,True,10.13,29.92,1216,1218,16.0,132.0,137.0,144.0,159.0,96.8,76.1,1.038,-12.08,0.951,20.0,153,,,
2019-09-26,2019-09-26T20:05:54,i171641768,기본값,Ride,False,36.57,23.24,5642,10247,100.0,,,147.0,177.0,81.7,77.8,,,,95.0,1248,,,
2019-09-25,2019-09-25T01:06:06,i171661744,Early morning Virtual Ride,VirtualRide,True,44.8,31.17,5171,5173,67.0,145.0,157.0,162.0,178.0,93.0,87.2,1.083,6.8,0.969,109.0,714,,,
2019-09-24,2019-09-24T21:09:43,i171641760,기본값,Ride,False,2.02,25.65,280,281,0.0,,,147.0,155.0,86.5,,,,,4.0,64,,,
2019-09-24,2019-09-24T19:58:02,i171641751,기본값,Ride,False,3.57,16.79,749,2066,9.0,,,121.0,146.0,,52.0,,,,6.0,80,,,
2019-09-24,2019-09-24T01:55:07,i171667201,Early morning Virtual Ride,VirtualRide,True,11.11,31.92,1250,1252,61.0,168.0,198.0,159.0,179.0,87.8,110.0,1.179,14.58,1.245,42.0,201,,,
2019-09-24,2019-09-24T00:41:49,i171668272,Early morning Virtual Ride,VirtualRide,True,24.6,27.12,3262,3265,328.0,137.0,141.0,151.0,159.0,96.0,78.3,1.029,3.57,0.934,56.0,427,,,
2019-09-23,2019-09-23T00:21:39,i171661433,Early morning Virtual Ride,VirtualRide,True,32.32,27.99,4154,4156,187.0,120.0,129.0,150.0,168.0,92.1,71.7,1.075,-1.41,0.86,59.0,475,,,
2019-09-20,2019-09-20T14:11:22,i171641746,기본값,Ride,False,60.39,26.6,8137,12620,63.0,,,143.0,177.0,81.0,70.5,,,,114.0,1637,,,
2019-09-16,2019-09-16T23:11:06,i171641739,기본값,Ride,False,47.28,27.95,6075,9430,54.0,,,160.0,173.0,82.3,88.3,,,,132.0,1626,,,
2019-09-16,2019-09-16T23:09:11,i171641725,기본값,Ride,False,0.06,5.21,27,44,0.0,,,113.0,127.0,33.1,,,,,0.0,3,,,
2019-09-16,2019-09-16T22:20:27,i171641714,기본값,Ride,False,15.9,27.88,2050,2594,7.0,,,154.0,176.0,86.1,82.8,,,,39.0,504,,,
2019-09-16,2019-09-16T00:30:14,i171666465,Early morning Virtual Ride,VirtualRide,True,25.35,25.28,3607,3610,350.0,128.0,133.0,138.0,149.0,82.6,73.9,1.039,2.54,0.964,55.0,441,,,
2019-09-15,2019-09-15T02:59:59,i171667621,Early morning Virtual Ride,VirtualRide,True,10.54,29.31,1288,1293,61.0,147.0,185.0,151.0,182.0,82.0,102.8,1.259,19.35,1.225,38.0,183,,,
2019-09-15,2019-09-15T02:06:06,i171668677,Early morning Virtual Ride,VirtualRide,True,20.33,27.56,2651,2654,59.0,114.0,119.0,139.0,150.0,89.3,66.1,1.044,2.69,0.856,32.0,290,,,
2019-09-14,2019-09-14T01:45:40,i171662246,Early morning Virtual Ride,VirtualRide,True,40.61,29.62,4931,4933,118.0,138.0,150.0,153.0,170.0,88.9,83.3,1.087,1.33,0.98,95.0,649,,,
2019-09-12,2019-09-12T05:02:59,i171667331,Morning Virtual Ride,VirtualRide,True,16.91,28.85,2106,2109,45.0,123.0,143.0,149.0,164.0,93.2,79.4,1.163,12.5,0.96,37.0,248,,,
2019-09-12,2019-09-12T03:40:48,i171668369,Early morning Virtual Ride,VirtualRide,True,29.4,29.26,3615,3617,64.0,128.0,132.0,152.0,165.0,95.4,73.3,1.031,1.43,0.868,54.0,442,,,
2019-09-10,2019-09-10T03:39:07,i171661515,Early morning Virtual Ride,VirtualRide,True,5.63,23.18,870,873,91.0,144.0,177.0,150.0,187.0,96.1,98.3,1.229,-61.36,1.18,23.0,119,,,
2019-09-10,2019-09-10T02:26:50,i171666949,Early morning Virtual Ride,VirtualRide,True,28.05,26.88,3755,3755,154.0,117.0,126.0,144.0,167.0,94.8,70.0,1.077,-2.32,0.875,51.0,419,,,
2019-09-09,2019-09-09T03:29:14,i171668046,Early morning Virtual Ride,VirtualRide,True,22.07,21.45,3691,3702,397.0,121.0,129.0,140.0,162.0,91.9,71.7,1.066,6.45,0.921,53.0,428,,,
2019-09-07,2019-09-07T22:52:12,i171660747,Night Virtual Ride,VirtualRide,True,40.17,28.63,4992,5048,114.0,129.0,144.0,147.0,167.0,91.4,80.0,1.116,4.38,0.98,89.0,616,,,
2019-09-05,2019-09-05T00:11:46,i171666599,Early morning Virtual Ride,VirtualRide,True,40.44,19.34,6253,7527,522.0,114.0,133.0,145.0,164.0,87.7,73.9,1.167,-6.65,0.917,95.0,688,,,
2019-09-04,2019-09-04T01:12:58,i171667721,Early morning Virtual Ride,VirtualRide,True,30.21,18.07,4582,6017,389.0,118.0,132.0,145.0,169.0,90.3,73.3,1.119,-26.71,0.91,68.0,516,,,
2019-09-03,2019-09-03T02:27:28,i171668440,Early morning Virtual Ride,VirtualRide,True,7.13,24.2,977,1059,69.0,132.0,160.0,139.0,167.0,83.7,88.9,1.212,-52.14,1.151,21.0,123,,,
2019-09-03,2019-09-03T01:55:18,i171668762,Early morning Virtual Ride,VirtualRide,True,13.18,25.88,1820,1832,65.0,105.0,121.0,137.0,154.0,87.7,67.2,1.152,1.21,0.883,23.0,184,,,
2019-09-03,2019-09-03T01:21:44,i171662330,Early morning Virtual Ride,VirtualRide,True,4.95,26.99,657,659,25.0,103.0,108.0,138.0,148.0,87.2,60.0,1.049,-28.35,0.783,7.0,64,,,
2019-09-03,2019-09-03T00:53:25,i171667394,Early morning Virtual Ride,VirtualRide,True,6.82,22.4,1055,1095,66.0,103.0,112.0,146.0,159.0,92.2,62.2,1.087,-14.04,0.767,11.0,104,,,
2019-09-03,2019-09-03T00:05:24,i171661600,Early morning Virtual Ride,VirtualRide,True,10.47,14.56,1490,2586,83.0,110.0,144.0,137.0,168.0,88.8,80.0,1.309,-0.97,1.051,26.0,164,,,
2019-09-02,2019-09-02T01:23:46,i171667047,Early morning Virtual Ride,VirtualRide,True,21.11,20.16,2933,3768,199.0,129.0,154.0,143.0,179.0,81.1,85.6,1.194,-15.52,1.077,60.0,362,,,
2019-09-01,2019-09-01T23:55:32,i171668149,Night Virtual Ride,VirtualRide,True,26.08,20.95,4261,4481,250.0,113.0,133.0,139.0,163.0,84.6,73.9,1.177,-21.1,0.957,65.0,462,,,
2019-09-01,2019-09-01T23:26:03,i171661289,Night Virtual Ride,VirtualRide,True,11.41,26.68,1536,1538,60.0,119.0,133.0,145.0,158.0,82.7,73.9,1.118,18.34,0.917,23.0,175,,,
2019-08-29,2019-08-29T18:06:59,i171666720,Evening Virtual Ride,VirtualRide,True,9.01,23.32,1331,1389,44.0,106.0,134.0,143.0,179.0,83.7,74.4,1.264,14.66,0.937,20.0,135,,,
2019-08-29,2019-08-29T17:02:59,i171667808,Afternoon Virtual Ride,VirtualRide,True,11.54,27.08,1530,1533,40.0,117.0,156.0,146.0,166.0,84.7,86.7,1.333,1.86,1.068,32.0,170,,,
2019-08-29,2019-08-29T02:15:26,i171668842,Early morning Virtual Ride,VirtualRide,True,21.16,19.03,2944,4000,199.0,129.0,138.0,148.0,162.0,82.0,76.7,1.07,-2.62,0.932,48.0,361,,,
2019-08-29,2019-08-29T00:58:12,i171662401,Early morning Virtual Ride,VirtualRide,True,5.09,28.67,635,638,56.0,141.0,153.0,146.0,161.0,82.7,85.0,1.085,-0.07,1.048,13.0,86,,,
2019-08-28,2019-08-28T23:47:28,i171667487,Night Virtual Ride,VirtualRide,True,2.46,24.97,350,353,22.0,147.0,173.0,139.0,155.0,77.3,96.1,1.177,-23.82,1.245,9.0,50,,,
2019-08-27,2019-08-27T22:43:11,i171641711,기본값,Ride,False,70.47,23.11,10905,15806,63.0,,,149.0,175.0,77.0,76.8,,,,181.0,2558,,,
2019-08-27,2019-08-27T00:08:17,i171641699,기본값,Ride,False,40.16,24.49,5864,7263,51.0,,,153.0,180.0,79.1,80.8,,,,108.0,1468,,,
2019-08-20,2019-08-20T17:47:49,i171641698,기본값,Ride,False,26.18,23.55,3981,5873,25.0,,,161.0,178.0,80.3,90.1,,,,91.0,1077,,,
2019-08-20,2019-08-20T17:47:49,i171666926,TODO,Ride,False,26.03,23.37,3961,5873,22.0,,,,,79.9,,,,,0.0,,,,
2019-08-20,2019-08-20T15:49:43,i171641690,기본값,Ride,False,25.55,23.68,3829,4918,19.0,,,162.0,181.0,78.1,90.3,,,,89.0,1047,,,
2019-08-20,2019-08-20T15:49:43,i171667994,TODO,Ride,False,26.28,24.32,3907,4918,22.0,,,,,78.1,,,,,0.0,,,,
2019-08-17,2019-08-17T11:53:19,i171641679,기본값,Ride,False,5.81,19.72,1046,1513,4.0,,,,,69.4,,,,,0.0,,,,
2019-08-17,2019-08-17T11:53:19,i171641681,기본값,Ride,False,5.8,20.11,1046,1513,2.0,,,,,69.4,,,,,0.0,,,,
2019-08-16,2019-08-16T23:59:12,i171641677,기본값,Ride,False,52.16,23.43,7943,12743,37.0,,,156.0,184.0,76.2,84.4,,,,161.0,2040,,,
2019-08-16,2019-08-16T23:59:12,i171666538,TODO,Ride,False,53.44,23.94,8055,12743,46.0,,,,,76.2,,,,,0.0,,,,
2019-08-14,2019-08-14T13:50:08,i171641669,기본값,Ride,False,10.61,17.07,2195,7663,26.0,,,,,,,,,,0.0,,,,
2019-08-05,2019-08-05T01:08:02,i171641666,기본값,Ride,False,23.41,23.15,3683,4853,27.0,,,156.0,181.0,,85.5,,,,75.0,935,,,
2019-08-05,2019-08-05T01:08:02,i171668722,TODO,Ride,False,23.46,23.14,3686,4853,21.0,,,,,,,,,,0.0,,,,
2019-07-20,2019-07-20T09:49:45,i171667149,25_20190720004942.gpx,Run,False,11.16,24.88,1663,2018,52.0,,,,,,,,,,0.0,,,,
2019-07-04,2019-07-04T09:15:07,i171668236,23_20190704001504.gpx,Run,False,10.36,24.63,1655,2370,46.0,,,,,,,,,,0.0,,,,
2019-07-04,2019-07-04T08:43:26,i171661409,22_20190703234323.gpx,Run,False,4.33,23.98,722,1888,13.0,,,,,,,,,,0.0,,,,
2019-07-04,2019-07-04T08:05:57,i171666808,21_20190703230453.gpx,Run,False,4.03,22.1,793,953,11.0,,,,,,,,,,0.0,,,,
2019-07-03,2019-07-03T10:19:48,i171667902,19_20190703011930.gpx,Run,False,4.81,27.54,624,702,23.0,,,,,,,,,,0.0,,,,
2019-06-11,2019-06-11T08:54:50,i171660272,17_20190610235446.gpx,Run,False,47.34,22.73,7411,10425,191.0,,,,,,,,,,0.0,,,,
2019-06-11,2019-06-11T01:50:59,i171666412,16_20190610165050.gpx,Run,False,10.79,18.08,2300,4259,75.0,,,,,,,,,,0.0,,,,
2019-06-10,2019-06-10T06:47:01,i171667581,15_20190609214657.gpx,Run,False,5.4,22.21,934,1008,21.0,,,,,,,,,,0.0,,,,
2019-06-09,2019-06-09T07:25:26,i171668628,14_20190608222522.gpx,Run,False,27.97,22.24,4567,6047,96.0,,,,,,,,,,0.0,,,,
2019-06-06,2019-06-06T10:29:25,i171662216,12_20190606012915.gpx,Run,False,2.96,20.62,527,640,21.0,,,,,,,,,,0.0,,,,
2019-06-03,2019-06-03T21:22:59,i171667246,9_20190603122111.gpx,Run,False,38.59,19.49,7256,13349,177.0,,,,,,,,,,0.0,,,,
2019-06-03,2019-06-03T20:52:17,i171668329,8_20190603115023.gpx,Run,False,8.02,20.98,1381,1483,30.0,,,,,,,,,,0.0,,,,
2019-06-03,2019-06-03T19:55:08,i171661474,7_20190603105457.gpx,Run,False,5.89,14.64,1508,3288,29.0,,,,,,,,,,0.0,,,,
